Date,total_record
2011/12/31,356
2012/01/01,2674
2012/01/02,14
2012/01/03,700
2012/01/04,630
2012/01/05,546
2012/01/06,775
2012/01/07,0
2012/01/08,0
2012/01/09,5
2012/01/10,1772
2012/01/11,861
2012/01/12,683
2012/01/13,832
2012/01/14,807
2012/01/15,6
2012/01/16,1
2012/01/17,1242
2012/01/18,602
2012/01/19,1167
2012/01/20,746
2012/01/21,768
2012/01/22,2
2012/01/23,1
2012/01/24,1115
2012/01/25,867
2012/01/26,689
2012/01/27,759
2012/01/28,613
2012/01/29,0
2012/01/30,4
2012/01/31,1184
2012/02/01,1108
2012/02/02,747
2012/02/03,755
2012/02/04,971
2012/02/05,3
2012/02/06,5
2012/02/07,1086
2012/02/08,0
2012/02/09,1701
2012/02/10,855
2012/02/11,883
2012/02/12,3
2012/02/13,1
2012/02/14,1128
2012/02/15,796
2012/02/16,641
2012/02/17,2
2012/02/18,977
2012/02/19,0
2012/02/20,5
2012/02/21,0
2012/02/22,3000
2012/02/23,839
2012/02/24,734
2012/02/25,3
2012/02/26,0
2012/02/27,1
2012/02/28,1
2012/02/29,1
2012/03/01,3871
2012/03/02,706
2012/03/03,1053
2012/03/04,0
2012/03/05,10
2012/03/06,1066
2012/03/07,794
2012/03/08,709
2012/03/09,749
2012/03/10,652
2012/03/11,0
2012/03/12,0
2012/03/13,1153
2012/03/14,953
2012/03/15,723
2012/03/16,705
2012/03/17,785
2012/03/18,0
2012/03/19,0
2012/03/20,1105
2012/03/21,925
2012/03/22,576
2012/03/23,770
2012/03/24,844
2012/03/25,5
2012/03/26,1
2012/03/27,1099
2012/03/28,903
2012/03/29,596
2012/03/30,633
2012/03/31,964
2012/04/01,410
2012/04/02,1
2012/04/03,1314
2012/04/04,542
2012/04/05,852
2012/04/06,801
2012/04/07,524
2012/04/08,0
2012/04/09,0
2012/04/10,759
2012/04/11,805
2012/04/12,1134
2012/04/13,749
2012/04/14,771
2012/04/15,2
2012/04/16,0
2012/04/17,1070
2012/04/18,811
2012/04/19,569
2012/04/20,582
2012/04/21,836
2012/04/22,1
2012/04/23,1
2012/04/24,1196
2012/04/25,1616
2012/04/26,587
2012/04/27,844
2012/04/28,774
2012/04/29,0
2012/04/30,1
2012/05/01,1271
2012/05/02,789
2012/05/03,561
2012/05/04,669
2012/05/05,805
2012/05/06,0
2012/05/07,0
2012/05/08,2
2012/05/09,1986
2012/05/10,766
2012/05/11,849
2012/05/12,792
2012/05/13,0
2012/05/14,4
2012/05/15,1108
2012/05/16,847
2012/05/17,603
2012/05/18,695
2012/05/19,817
2012/05/20,0
2012/05/21,0
2012/05/22,2
2012/05/23,2132
2012/05/24,649
2012/05/25,859
2012/05/26,855
2012/05/27,0
2012/05/28,0
2012/05/29,1241
2012/05/30,467
2012/05/31,762
2012/06/01,1278
2012/06/02,993
2012/06/03,0
2012/06/04,1
2012/06/05,1062
2012/06/06,843
2012/06/07,517
2012/06/08,1125
2012/06/09,763
2012/06/10,4
2012/06/11,3
2012/06/12,1118
2012/06/13,984
2012/06/14,654
2012/06/15,654
2012/06/16,1038
2012/06/17,0
2012/06/18,2
2012/06/19,1267
2012/06/20,910
2012/06/21,642
2012/06/22,1003
2012/06/23,772
2012/06/24,2
2012/06/25,3
2012/06/26,1326
2012/06/27,741
2012/06/28,726
2012/06/29,838
2012/06/30,890
2012/07/01,468
2012/07/02,1
2012/07/03,2
2012/07/04,1838
2012/07/05,906
2012/07/06,480
2012/07/07,766
2012/07/08,1
2012/07/09,0
2012/07/10,1082
2012/07/11,978
2012/07/12,817
2012/07/13,835
2012/07/14,986
2012/07/15,9
2012/07/16,0
2012/07/17,1083
2012/07/18,835
2012/07/19,994
2012/07/20,754
2012/07/21,795
2012/07/22,0
2012/07/23,2
2012/07/24,1243
2012/07/25,897
2012/07/26,653
2012/07/27,683
2012/07/28,884
2012/07/29,0
2012/07/30,2
2012/07/31,1354
2012/08/01,1075
2012/08/02,651
2012/08/03,654
2012/08/04,813
2012/08/05,3
2012/08/06,2
2012/08/07,895
2012/08/08,807
2012/08/09,548
2012/08/10,700
2012/08/11,812
2012/08/12,2
2012/08/13,0
2012/08/14,1678
2012/08/15,674
2012/08/16,578
2012/08/17,586
2012/08/18,804
2012/08/19,1
2012/08/20,6
2012/08/21,1048
2012/08/22,593
2012/08/23,817
2012/08/24,792
2012/08/25,730
2012/08/26,0
2012/08/27,3
2012/08/28,1039
2012/08/29,965
2012/08/30,525
2012/08/31,822
2012/09/01,1017
2012/09/02,0
2012/09/03,0
2012/09/04,1181
2012/09/05,604
2012/09/06,808
2012/09/07,827
2012/09/08,849
2012/09/09,0
2012/09/10,1
2012/09/11,1144
2012/09/12,868
2012/09/13,754
2012/09/14,837
2012/09/15,938
2012/09/16,0
2012/09/17,1
2012/09/18,1419
2012/09/19,864
2012/09/20,719
2012/09/21,501
2012/09/22,961
2012/09/23,0
2012/09/24,0
2012/09/25,1201
2012/09/26,791
2012/09/27,801
2012/09/28,582
2012/09/29,747
2012/09/30,4
2012/10/01,323
2012/10/02,1269
2012/10/03,1121
2012/10/04,810
2012/10/05,387
2012/10/06,659
2012/10/07,0
2012/10/08,1
2012/10/09,978
2012/10/10,594
2012/10/11,939
2012/10/12,1557
2012/10/13,684
2012/10/14,0
2012/10/15,0
2012/10/16,1300
2012/10/17,1025
2012/10/18,553
2012/10/19,696
2012/10/20,818
2012/10/21,0
2012/10/22,0
2012/10/23,1274
2012/10/24,874
2012/10/25,713
2012/10/26,771
2012/10/27,700
2012/10/28,0
2012/10/29,1
2012/10/30,1028
2012/10/31,959
2012/11/01,856
2012/11/02,662
2012/11/03,804
2012/11/04,0
2012/11/05,4
2012/11/06,1114
2012/11/07,975
2012/11/08,699
2012/11/09,642
2012/11/10,713
2012/11/11,0
2012/11/12,0
2012/11/13,1325
2012/11/14,729
2012/11/15,610
2012/11/16,560
2012/11/17,654
2012/11/18,0
2012/11/19,0
2012/11/20,1649
2012/11/21,947
2012/11/22,758
2012/11/23,525
2012/11/24,612
2012/11/25,1
2012/11/26,0
2012/11/27,0
2012/11/28,2392
2012/11/29,684
2012/11/30,657
2012/12/01,1299
2012/12/02,0
2012/12/03,3
2012/12/04,1439
2012/12/05,1211
2012/12/06,735
2012/12/07,0
2012/12/08,3
2012/12/09,0
2012/12/10,1
2012/12/11,4
2012/12/12,3843
2012/12/13,746
2012/12/14,579
2012/12/15,891
2012/12/16,3
2012/12/17,1
2012/12/18,846
2012/12/19,1141
2012/12/20,705
2012/12/21,1000
2012/12/22,677
2012/12/23,0
2012/12/24,0
2012/12/25,1214
2012/12/26,596
2012/12/27,255
2012/12/28,361
2012/12/29,557
2012/12/30,0
2012/12/31,6
2013/01/01,3551
2013/01/02,498
2013/01/03,856
2013/01/04,814
2013/01/05,756
2013/01/06,0
2013/01/07,0
2013/01/08,1207
2013/01/09,901
2013/01/10,902
2013/01/11,949
2013/01/12,885
2013/01/13,0
2013/01/14,0
2013/01/15,1326
2013/01/16,909
2013/01/17,672
2013/01/18,911
